"","Name","Aces","Double.faults","X1st.serves.in","X1st.serve.points.won","X2nd.serve.points.won","Fastest.serve","Average.1st.serve.speed","Average.2nd.serve.speed","Net.points.won","Break.points.won","Receiving.points.won","Winners","Unforced.errors","Total.points.won","Round"
"114","Mikhail Kukushkin (KAZ)",11.5,4,60.5,79.5,57.5,NA,NA,NA,56.5,43,42.5,25.5,22.5,40,3
"115","Jiri Vesely (CZE)",16,6,59.5,89.5,64,143,119,102,86.5,33,41.5,59.5,33.5,85,3
"116","Victor Estrella (DOM)",24,1,73,53,29,NA,NA,NA,71,0,14,50,19,74,1
"117","Marcel Granollers (ESP)",9.5,3,67,68.5,60.5,132,118,94,65.5,31.5,35,20.5,15,76,2
"118","Nicolas Mahut (FRA)",7,8,61,73,54,NA,NA,NA,62,18,34,52,36,52,1
"119","Jack Sock (USA)",16,7,61.5,78.5,57,134,117,96,68,13.5,25.5,20.5,14,58.5,2
"120","Pierre-Hugues Herbert (FRA)",22,8,63,76,47,NA,NA,NA,62,0,24,20,13,16,1
"121","Aleksandr Nedovyesov (KAZ)",8,5,68,79,38,NA,NA,NA,66,20,32,35,36,7,1
"122","Yen-Hsun Lu (TPE)",12,5.5,65,69,54,125,112,99,61.5,58.5,34.5,26,21.5,30,2
"123","Gilles Muller (LUX)",22.5,7,66.5,85.5,46,125,112,97,67.5,8.5,21,47,4.5,32.5,2
"124","Julien Benneteau (FRA)",27,6,67,80,53,NA,NA,NA,64,0,18,14,40,54,1
"125","Frank Dancevic (CAN)",12.5,2.5,64.5,72.5,59.5,NA,NA,NA,66,8.5,26,9.5,25.5,58.5,2
"126","Ivo Karlovic (CRO)",32,4,82,79,42,NA,NA,NA,48,0,19,40,43,79,1
"127","Denis Istomin (UZB)",20.5,1,70,79.5,56,NA,NA,NA,71.5,34.5,39,38.5,19.5,67,3
"128","Dmitry Tursunov (RUS)",11,8,65,59,57,NA,NA,NA,27,67,23,4,6,38,1
