"","ID","purchase","s.ahead","d.stay","s.weekd","in.weekd","out.weekd","room","adult","child","minstar","match","s.name","n.search","page","click","time"
"8840",8840,0,61,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8841",8841,0,81,1,"Monday","Friday","Saturday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8843",8843,0,166,7,"Monday","Saturday","Saturday",1,2,2,40,32,"",2,2,3,0.005
"8845",8845,0,60,1,"Monday","Friday","Saturday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8846",8846,0,4,1,"Monday","Friday","Saturday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8849",8849,0,127,7,"Monday","Wednesday","Wednesday",1,2,0,0,106,"",3,3,0,0.0219444444444444
"8850",8850,0,74,7,"Monday","Saturday","Saturday",1,2,1,0,106,"",4,4,0,0.0752777777777778
"8851",8851,0,121,4,"Monday","Thursday","Monday",1,1,0,0,106,"",2,2,0,0.0152777777777778
"8854",8854,0,80,1,"Monday","Thursday","Friday",1,2,0,0,0,"JW Marriott Cancun Resort & Spa",1,1,0,0
"8855",8855,0,64,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8856",8856,0,44,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Le Meridien Cancun Resort and Spa",1,1,0,0
"8857",8857,0,32,1,"Monday","Friday","Saturday",1,2,0,0,0,"Le Meridien Cancun Resort and Spa",1,1,0,0
"8858",8858,0,55,1,"Monday","Sunday","Monday",1,2,0,0,0,"JW Marriott Cancun Resort & Spa",1,1,0,0
"8859",8859,0,53,1,"Monday","Friday","Saturday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8860",8860,0,20,1.04166666666667,"Monday","Sunday","Monday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8861",8861,0,160,6,"Monday","Monday","Sunday",1,2,1,0,106,"",2,3,4,0.0861111111111111
"8862",8862,0,89,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8863",8863,0,82,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8864",8864,0,78,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8865",8865,0,76,1,"Monday","Sunday","Monday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8866",8866,0,127,4,"Monday","Wednesday","Sunday",1,2,0,0,106,"",2,2,1,0.0127777777777778
"8867",8867,0,81,1,"Monday","Friday","Saturday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8868",8868,0,28,4,"Monday","Tuesday","Saturday",1,2,0,0,106,"",1,1,1,0
"8869",8869,0,105,9,"Monday","Tuesday","Thursday",1,2,0,0,106,"",1,1,0,0
"8870",8870,0,47,1,"Monday","Saturday","Sunday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8871",8871,0,37,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8872",8872,0,56,3,"Monday","Monday","Thursday",1,2,0,0,106,"",1,1,0,0
"8873",8873,0,129,4,"Monday","Thursday","Monday",1,1,0,0,106,"",1,1,0,0
"8874",8874,1,17,2,"Monday","Friday","Sunday",1,2,0,0,106,"",2,3,5,24.0575
"8875",8875,0,16,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8876",8876,0,10,1,"Monday","Thursday","Friday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8877",8877,0,44,4,"Monday","Wednesday","Sunday",1,2,0,0,32,"",2,2,1,0.0108333333333333
"8878",8878,0,54,1,"Monday","Saturday","Sunday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"8879",8879,0,137,7,"Monday","Saturday","Saturday",1,2,0,0,106,"Copa Cabana resort",2,2,2,0.00972222222222222
"8880",8880,0,58,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8881",8881,0,28,2,"Monday","Monday","Wednesday",1,1,0,0,1,"nh krystal cancun",1,1,1,0
"8882",8882,0,35,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8883",8883,0,72,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8884",8884,0,12,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8886",8886,0,21,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Fiesta Americana Condesa Cancun",1,1,0,0
"8887",8887,0,57,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8888",8888,0,59,1,"Monday","Thursday","Friday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8889",8889,0,24,1,"Monday","Thursday","Friday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8890",8890,0,25,6,"Monday","Friday","Thursday",1,1,0,0,106,"",2,2,1,0.00888888888888889
"8891",8891,0,18,1,"Monday","Friday","Saturday",1,2,0,0,0,"ME by Melia Cancun",1,1,0,0
"8892",8892,0,55,1,"Monday","Sunday","Monday",1,2,0,0,0,"The Westin Resort",1,1,0,0
"8893",8893,0,75,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8895",8895,0,82,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8896",8896,0,63,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8898",8898,0,68,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8899",8899,0,13,1,"Monday","Sunday","Monday",1,2,0,0,0,"Gran Melia Cancun",1,1,0,0
"8900",8900,0,49,1,"Monday","Monday","Tuesday",1,2,0,0,0,"Hilton Cancun Golf",1,1,0,0
"8901",8901,0,9,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Fiesta Americana Grand Coral Beach",1,1,0,0
"8902",8902,0,170,7,"Monday","Thursday","Thursday",1,2,2,0,106,"",1,1,0,0
"8903",8903,0,73,5,"Monday","Friday","Wednesday",1,2,0,0,106,"",1,1,0,0
"8904",8904,0,23,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8905",8905,0,22,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8906",8906,0,44,6,"Monday","Wednesday","Tuesday",1,2,0,0,32,"",2,3,0,0.0108333333333333
"8907",8907,0,49,1,"Monday","Monday","Tuesday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"8908",8908,0,23,3,"Monday","Thursday","Sunday",1,2,0,0,106,"",1,1,0,0
"8909",8909,0,59,4,"Monday","Friday","Tuesday",1,2,0,0,106,"",1,1,1,0
"8910",8910,0,53,7,"Monday","Saturday","Saturday",1,2,0,0,1,"Moon Palace",1,1,0,0
"8911",8911,0,82,1,"Monday","Saturday","Sunday",1,2,0,0,0,"Aqua Cancun",1,1,0,0
"8912",8912,0,69,1,"Monday","Monday","Tuesday",1,2,1,0,106,"",1,1,0,0
"8913",8913,0,24,1,"Monday","Thursday","Friday",1,2,0,0,0,"Marriott CasaMagna Resort Cancun",1,1,0,0
"8914",8914,0,30,1,"Monday","Wednesday","Thursday",1,2,0,0,0,"Le Blanc Spa Resort All Inclusive",1,1,0,0
"8915",8915,0,8,1,"Monday","Tuesday","Wednesday",1,2,0,0,0,"The Ritz-Carlton, Cancun",1,1,0,0
"8916",8916,0,122,10,"Monday","Thursday","Sunday",1,2,0,0,106,"",2,2,2,0.0513888888888889
"8917",8917,0,37,4,"Monday","Thursday","Monday",1,2,0,0,106,"",1,1,0,0
